# Источник: https://skf.mtuci.ru/uch_rab/time-table/ — Высшее, очная, 2 курс, ДБ2501, расписание на сентябрь 2026 (скан PDF)
# дата	пара	дисциплина	преподаватель	ассистент	аудитория	вид
01.09	1	Информационная экология	Жуковский Д.А.		308	лек.
01.09	2	Электроника	Соколов С.В.		308	лек.
01.09	3	Элективные курсы по ФК(ОФП)	Ковалёв А.С.		сп/зал	ПЗ
02.09	1	Элективные курсы по ФК(ОФП)	Ковалёв А.С.		сп/зал	ПЗ
02.09	2	Информационные технологии и программирование	Швидченко С.А.		220	лек.
02.09	3	Экономика	Андреева Н.А.		220	лек.
03.09	1	Высшая математика	Ефимов С.В.		220	лек.
03.09	2	Электроника	Соколов С.В.		220	лек.
03.09	3	Электроника	Соколов С.В.		310	ПЗ
04.09	1	Элективные курсы по ФК(ОФП)	Ковалёв А.С.		сп/зал	ПЗ
04.09	2	Иностранный язык	Светличная Н.О.		302	ПЗ
04.09	3	Высшая математика	Ефимов С.В.		306	ПЗ
05.09	2	Иностранный язык	Светличная Н.О.		302	ПЗ
05.09	3	Элективные курсы по ФК(ОФП)	Ковалёв А.С.		сп/зал	ПЗ
07.09	1	Теория вероятностей и математическая статистика	Беркович В.Н.		308	лек.
07.09	2	Высшая математика	Ефимов С.В.		308	лек.
08.09	2	Элективные курсы по ФК(ОФП)	Ковалёв А.С.		сп/зал	ПЗ
08.09	3	Электроника	Соколов С.В.		220	лек.
08.09	4	Теория вероятностей и математическая статистика	Беркович В.Н.		306	ПЗ
09.09	1	Высшая математика	Ефимов С.В.		220	ПЗ
09.09	2	Информационная экология	Жуковский Д.А.		216	ЛР
09.09	3	Элективные курсы по ФК(ОФП)	Ковалёв А.С.		сп/зал	ПЗ
10.09	2	Иностранный язык	Светличная Н.О.		302	ПЗ
10.09	3	Электроника	Соколов С.В.		310	ЛР
10.09	4	Электроника	Соколов С.В.		310	ЛР
11.09	1	Информационные технологии и программирование	Швидченко С.А.		305	ПЗ
11.09	2	Экономика	Андреева Н.А.		304	ПЗ
14.09	1	Теория вероятностей и математическая статистика	Беркович В.Н.		308	ПЗ
14.09	2	Высшая математика	Ефимов С.В.		308	ПЗ
14.09	3	Высшая математика	Ефимов С.В.		308	лек.
15.09	1	Информационная экология	Жуковский Д.А.		308	лек.
15.09	2	Электроника	Соколов С.В.		308	лек.
15.09	3	Высшая математика	Ефимов С.В.		106	ПЗ
16.09	1	Элективные курсы по ФК(ОФП)	Ковалёв А.С.		сп/зал	ПЗ
16.09	2	Информационные технологии и программирование	Швидченко С.А.		220	лек.
16.09	3	Экономика	Андреева Н.А.		220	лек.
17.09	1	Теория вероятностей и математическая статистика	Беркович В.Н.		402	лек.
17.09	2	Электроника	Соколов С.В.		308	лек.
18.09	1	Элективные курсы по ФК(ОФП)	Ковалёв А.С.		сп/зал	ПЗ
18.09	2	Иностранный язык	Светличная Н.О.		302	ПЗ
18.09	3	Экономика	Андреева Н.А.		101	ПЗ
21.09	1	Теория вероятностей и математическая статистика	Беркович В.Н.		308	лек.
21.09	2	Высшая математика	Ефимов С.В.		308	лек.
22.09	1	Элективные курсы по ФК(ОФП)	Ковалёв А.С.		сп/зал	ПЗ
22.09	2	Информационная экология	Жуковский Д.А.		214	ЛР
22.09	3	Дискретная математика	Докучаев С.А.		220	лек.
23.09	2	Теория вероятностей и математическая статистика	Беркович В.Н.		302	ПЗ
23.09	3	Иностранный язык	Светличная Н.О.		307	ПЗ
24.09	1	Дискретная математика	Докучаев С.А.		101	ПЗ
24.09	2	Электроника	Соколов С.В.		218	ПЗ
24.09	3	Электроника	Соколов С.В.		310	ЛР
25.09	1	Информационные технологии и программирование	Швидченко С.А.		305	ПЗ
25.09	2	Экономика	Андреева Н.А.		304	ПЗ
25.09	3	Иностранный язык	Светличная Н.О.		101	ПЗ
26.09	1	Элективные курсы по ФК(ОФП)	Ковалёв А.С.		сп/зал	ПЗ
26.09	2	Элективные курсы по ФК(ОФП)	Ковалёв А.С.		сп/зал	ПЗ
28.09	1	Теория вероятностей и математическая статистика	Беркович В.Н.		308	ПЗ
28.09	2	Высшая математика	Ефимов С.В.		106	ПЗ
28.09	3	Высшая математика	Ефимов С.В.		307	лек.
29.09	1	Информационная экология	Жуковский Д.А.		402	лек.
29.09	2	Электроника	Соколов С.В.		216	лек.
29.09	3	Элективные курсы по ФК(ОФП)	Ковалёв А.С.		сп/зал	ПЗ
30.09	1	Элективные курсы по ФК(ОФП)	Ковалёв А.С.		сп/зал	ПЗ
30.09	2	Информационные технологии и программирование	Швидченко С.А.		220	лек.
30.09	3	Экономика	Андреева Н.А.		220	лек.
