# Источник: https://skf.mtuci.ru/uch_rab/time-table/ — Высшее, очная, 3 курс, ДБ2401, расписание на сентябрь 2026 (скан PDF)
# дата	пара	дисциплина	преподаватель	ассистент	аудитория	вид
01.09	3	Элективные курсы по ФК(ОФП)	Ковалёв А.С.		сп/зал	ПЗ
02.09	4	Схемотехника	Маршаков Д.В.		220	лек.
02.09	5	Схемотехника	Маршаков Д.В.		220	лек.
03.09	3	Элективные курсы по ФК(ОФП)	Ковалёв А.С.		сп/зал	ПЗ
03.09	4	Аппаратные средства вычислительной техники	Чикалов А.Н.		218	лек.
03.09	5	Аппаратные средства вычислительной техники	Чикалов А.Н.		310	лек.
04.09	4	Основы экономической культуры и финансовая грамотность	Андреева Н.А.		220	лек.
04.09	5	Язык ассемблера	Коноваленко А.В.		101	лек.
04.09	6	Язык ассемблера	Коноваленко А.В.		101	ЛР
07.09	4	Искусственный интеллект и машинное обучение в кибербезопасности	Маршаков Д.В.		305	ПЗ
07.09	5	Основы экономической культуры и финансовая грамотность	Андреева Н.А.		305	ПЗ
08.09	3	Элективные курсы по ФК(ОФП)	Ковалёв А.С.		сп/зал	ПЗ
08.09	4	Схемотехника	Маршаков Д.В.		310	лек.
08.09	5	Схемотехника	Маршаков Д.В.		310	ПЗ
09.09	5	Аппаратные средства вычислительной техники	Чикалов А.Н.		310	ПЗ
09.09	6	Аппаратные средства вычислительной техники	Чикалов А.Н.		310	ПЗ
10.09	3	Аппаратные средства вычислительной техники	Чикалов А.Н.		218	лек.
10.09	4	Аппаратные средства вычислительной техники	Чикалов А.Н.		101	ПЗ
15.09	3	Элективные курсы по ФК(ОФП)	Ковалёв А.С.		сп/зал	ПЗ
15.09	4	Основы экономической культуры и финансовая грамотность	Андреева Н.А.		220	лек.
16.09	4	Схемотехника	Маршаков Д.В.		310	лек.
16.09	5	Схемотехника	Маршаков Д.В.		310	ЛР
17.09	3	Элективные курсы по ФК(ОФП)	Ковалёв А.С.		сп/зал	ПЗ
17.09	4	Аппаратные средства вычислительной техники	Чикалов А.Н.		218	лек.
17.09	5	Аппаратные средства вычислительной техники	Чикалов А.Н.		218	ПЗ
18.09	3	Элективные курсы по ФК(ОФП)	Ковалёв А.С.		сп/зал	ПЗ
18.09	4	Аппаратные средства вычислительной техники	Чикалов А.Н.		218	ПЗ
21.09	4	Схемотехника	Маршаков Д.В.		310	лек.
21.09	5	Схемотехника	Маршаков Д.В.		310	ПЗ
22.09	3	Элективные курсы по ФК(ОФП)	Ковалёв А.С.		сп/зал	ПЗ
22.09	4	Аппаратные средства вычислительной техники	Чикалов А.Н.		218	лек.
22.09	5	Аппаратные средства вычислительной техники	Чикалов А.Н.		218	ПЗ
23.09	4	Основы экономической культуры и финансовая грамотность	Андреева Н.А.		101	ПЗ
23.09	5	Аппаратные средства вычислительной техники	Чикалов А.Н.		218	ПЗ
25.09	3	Элективные курсы по ФК(ОФП)	Ковалёв А.С.		сп/зал	ПЗ
25.09	4	Аппаратные средства вычислительной техники	Чикалов А.Н.		310	ПЗ
25.09	5	Аппаратные средства вычислительной техники	Чикалов А.Н.		310	ПЗ
28.09	3	Элективные курсы по ФК(ОФП)	Ковалёв А.С.		сп/зал	ПЗ
28.09	4	Основы экономической культуры и финансовая грамотность	Андреева Н.А.		308	лек.
28.09	5	Аппаратные средства вычислительной техники	Чикалов А.Н.		218	лек.
30.09	4	Схемотехника	Маршаков Д.В.		310	лек.
30.09	5	Схемотехника	Маршаков Д.В.		310	ЛР
