# Источник: https://skf.mtuci.ru/uch_rab/time-table/ — Высшее, очная, 3 курс, ДЗ2401, расписание на сентябрь 2026 (скан PDF)
# дата	пара	дисциплина	преподаватель	ассистент	аудитория	вид
01.09	5	Направляющие телекоммуникационные среды и методы их защиты	Руденко Н.В.		312	лек.
01.09	6	Основы организационно-правового обеспечения информационной безопасности сетей и систем	Жуковский Д.А.		308	лек.
02.09	5	Цифровая обработка сигналов	Бородин А.В.		402	лек.
02.09	6	Цифровая обработка сигналов	Бородин А.В.		312	ПЗ
03.09	4	Основы организационно-правового обеспечения информационной безопасности сетей и систем	Жуковский Д.А.		106	ПЗ
03.09	5	Основы информационной безопасности	Жуковский А.Г.		220	лек.
03.09	6	Сетевые технологии	Решетникова И.В.		220	лек.
04.09	3	Элективные курсы по ФК(ОФП)	Ковалёв А.С.		сп/зал	ПЗ
04.09	4	Инфокоммуникационные системы и сети	Юхнов В.И.		402	лек.
04.09	5	Общая теория связи	Юхнов В.И.		402	лек.
07.09	4	Инфокоммуникационные системы и сети	Юхнов В.И.	Манин А.А.	216	ЛР
07.09	5	Приемопередающие устройства	Борисов Б.П.		312	ПЗ
07.09	6	Приемопередающие устройства	Борисов Б.П.		220	лек.
08.09	3	Элективные курсы по ФК(ОФП)	Ковалёв А.С.		сп/зал	ПЗ
08.09	4	Инфокоммуникационные системы и сети	Юхнов В.И.		216	ПЗ
08.09	5	Сетевые технологии	Решетникова И.В.	Манин А.А.	312	ЛР
09.09	4	Направляющие телекоммуникационные среды и методы их защиты	Руденко Н.В.		313	ПЗ
09.09	5	Цифровая обработка сигналов	Бородин А.В.		313	ПЗ
09.09	6	Сетевые технологии	Гуляева Т.В.		312	ПЗ
10.09	4	Основы организационно-правового обеспечения информационной безопасности сетей и систем	Жуковский Д.А.		216	ПЗ
10.09	5	Приемопередающие устройства	Борисов Б.П.		306	ПЗ
11.09	4	Цифровая обработка сигналов	Бородин А.В.	Баранов В.И.	313	ЛР
11.09	5	Основы организационно-правового обеспечения информационной безопасности сетей и систем	Жуковский Д.А.		216	ПЗ
14.09	4	Инфокоммуникационные системы и сети	Юхнов В.И.		220	лек.
14.09	5	Инфокоммуникационные системы и сети	Юхнов В.И.	Манин А.А.	216	ЛР
15.09	4	Приемопередающие устройства	Борисов Б.П.		312	ПЗ
15.09	5	Общая теория связи	Юхнов В.И.		220	лек.
15.09	6	Основы организационно-правового обеспечения информационной безопасности сетей и систем	Жуковский Д.А.		101	ПЗ
16.09	4	Направляющие телекоммуникационные среды и методы их защиты	Руденко Н.В.		312	лек.
16.09	5	Цифровая обработка сигналов	Бородин А.В.		402	лек.
16.09	6	Цифровая обработка сигналов	Бородин А.В.		312	ПЗ
17.09	4	Сетевые технологии	Гуляева Т.В.		312	ПЗ
17.09	5	Сетевые технологии	Решетникова И.В.		220	лек.
17.09	6	Основы информационной безопасности	Жуковский А.Г.		220	лек.
18.09	3	Элективные курсы по ФК(ОФП)	Ковалёв А.С.		сп/зал	ПЗ
18.09	4	Основы организационно-правового обеспечения информационной безопасности сетей и систем	Жуковский Д.А.		101	лек.
18.09	5	Цифровая обработка сигналов	Бородин А.В.		312	ПЗ
21.09	4	Инфокоммуникационные системы и сети	Юхнов В.И.		216	ПЗ
21.09	5	Приемопередающие устройства	Борисов Б.П.		312	ПЗ
21.09	6	Приемопередающие устройства	Борисов Б.П.		220	лек.
22.09	4	Инфокоммуникационные системы и сети	Юхнов В.И.		216	ПЗ
22.09	5	Сетевые технологии	Гуляева Т.В.		312	ПЗ
22.09	6	Сетевые технологии	Решетникова И.В.	Манин А.А.	312	ЛР
23.09	3	Элективные курсы по ФК(ОФП)	Ковалёв А.С.		сп/зал	ПЗ
23.09	4	Направляющие телекоммуникационные среды и методы их защиты	Руденко Н.В.		313	ПЗ
23.09	5	Цифровая обработка сигналов	Бородин А.В.		310	ПЗ
24.09	3	Элективные курсы по ФК(ОФП)	Ковалёв А.С.		сп/зал	ПЗ
24.09	4	Направляющие телекоммуникационные среды и методы их защиты	Руденко Н.В.	Панков Г.К.	313	ЛР
24.09	5	Основы организационно-правового обеспечения информационной безопасности сетей и систем	Жуковский Д.А.		101	ПЗ
25.09	4	Цифровая обработка сигналов	Бородин А.В.	Баранов В.И.	313	ЛР
25.09	5	Основы организационно-правового обеспечения информационной безопасности сетей и систем	Жуковский Д.А.		305	ПЗ
28.09	4	Инфокоммуникационные системы и сети	Юхнов В.И.		402	лек.
28.09	5	Инфокоммуникационные системы и сети	Юхнов В.И.	Манин А.А.	216	ЛР
28.09	6	Приемопередающие устройства	Борисов Б.П.		306	ПЗ
29.09	4	Основы организационно-правового обеспечения информационной безопасности сетей и систем	Жуковский Д.А.		312	ПЗ
29.09	5	Общая теория связи	Юхнов В.И.		220	лек.
30.09	4	Направляющие телекоммуникационные среды и методы их защиты	Руденко Н.В.		312	лек.
30.09	5	Цифровая обработка сигналов	Бородин А.В.		402	лек.
