# Источник: https://skf.mtuci.ru/uch_rab/time-table/ — Высшее, очная, 3 курс, ДМО2401, расписание на сентябрь 2026 (скан PDF)
# дата	пара	дисциплина	преподаватель	ассистент	аудитория	вид
01.09	3	Элективные курсы по ФК(ОФП)	Ковалёв А.С.		сп/зал	ПЗ
01.09	4	Проектный практикум	Соколов С.В.		310	ПЗ
01.09	5	Проектный практикум	Соколов С.В.		310	ПЗ
02.09	5	Цифровые устройства и микропроцессоры	Чикалов А.Н.		310	лек.
02.09	6	Цифровые устройства и микропроцессоры	Чикалов А.Н.		218	ПЗ
03.09	3	Элективные курсы по ФК(ОФП)	Ковалёв А.С.		сп/зал	ПЗ
03.09	4	Программирование 1С	Коноваленко А.В.		101	лек.
03.09	5	Основы DevOps	Коноваленко А.В.		101	лек.
04.09	4	Основы экономической культуры и финансовая грамотность	Андреева Н.А.		220	лек.
04.09	5	Цифровые устройства и микропроцессоры	Чикалов А.Н.		218	ПЗ
07.09	5	Основы экономической культуры и финансовая грамотность	Андреева Н.А.		305	ПЗ
07.09	6	Цифровые устройства и микропроцессоры	Чикалов А.Н.		218	лек.
07.09	7	Цифровые устройства и микропроцессоры	Чикалов А.Н.		218	ПЗ
08.09	2	Цифровые устройства и микропроцессоры	Чикалов А.Н.		218	ПЗ
08.09	3	Элективные курсы по ФК(ОФП)	Ковалёв А.С.		сп/зал	ПЗ
09.09	4	Программирование 1С	Коноваленко А.В.		218	ПЗ
09.09	5	Программирование 1С	Коноваленко А.В.		218	ПЗ
10.09	5	Цифровые устройства и микропроцессоры	Чикалов А.Н.		218	лек.
10.09	6	Цифровые устройства и микропроцессоры	Чикалов А.Н.		218	ПЗ
11.09	4	Основы DevOps	Коноваленко А.В.		218	ПЗ
11.09	5	Программирование 1С	Коноваленко А.В.		218	ПЗ
11.09	6	Цифровые устройства и микропроцессоры	Чикалов А.Н.		218	ПЗ
12.09	3	Основы DevOps	Коноваленко А.В.	Маршаков Д.В.	305	ЛР
12.09	4	Основы DevOps	Коноваленко А.В.	Маршаков Д.В.	305	ЛР
14.09	4	Цифровые устройства и микропроцессоры	Чикалов А.Н.		218	ПЗ
14.09	5	Цифровые устройства и микропроцессоры	Чикалов А.Н.		218	лек.
15.09	3	Элективные курсы по ФК(ОФП)	Ковалёв А.С.		сп/зал	ПЗ
15.09	4	Основы экономической культуры и финансовая грамотность	Андреева Н.А.		220	лек.
15.09	5	Цифровые устройства и микропроцессоры	Чикалов А.Н.		218	ПЗ
15.09	6	Цифровые устройства и микропроцессоры	Чикалов А.Н.		218	ПЗ
16.09	5	Программирование 1С	Коноваленко А.В.		218	лек.
16.09	6	Программирование 1С	Коноваленко А.В.		218	ПЗ
17.09	3	Элективные курсы по ФК(ОФП)	Ковалёв А.С.		сп/зал	ПЗ
17.09	4	Проектный практикум	Соколов С.В.		310	ПЗ
17.09	5	Проектный практикум	Соколов С.В.		310	ПЗ
18.09	3	Элективные курсы по ФК(ОФП)	Ковалёв А.С.		сп/зал	ПЗ
18.09	4	Основы DevOps	Коноваленко А.В.		220	лек.
18.09	5	Основы DevOps	Коноваленко А.В.	Маршаков Д.В.	101	ЛР
19.09	3	Программирование 1С	Коноваленко А.В.		305	ПЗ
19.09	4	Основы DevOps	Коноваленко А.В.	Маршаков Д.В.	305	ЛР
22.09	3	Элективные курсы по ФК(ОФП)	Ковалёв А.С.		сп/зал	ПЗ
22.09	4	Проектный практикум	Соколов С.В.		310	ПЗ
22.09	5	Проектный практикум	Соколов С.В.		310	ПЗ
23.09	4	Основы экономической культуры и финансовая грамотность	Андреева Н.А.		101	ПЗ
23.09	5	Математические методы в больших данных	Докучаев С.А.		220	лек.
23.09	6	Математические методы в больших данных	Докучаев С.А.		218	ПЗ
24.09	4	Цифровые устройства и микропроцессоры	Чикалов А.Н.		218	ПЗ
24.09	5	Цифровые устройства и микропроцессоры	Чикалов А.Н.		218	ПЗ
25.09	3	Элективные курсы по ФК(ОФП)	Ковалёв А.С.		сп/зал	ПЗ
25.09	4	Основы DevOps	Коноваленко А.В.		101	ПЗ
25.09	5	Основы DevOps	Коноваленко А.В.	Маршаков Д.В.	101	ЛР
25.09	6	Программирование 1С	Коноваленко А.В.		101	ПЗ
26.09	4	Программирование 1С	Коноваленко А.В.		101	ПЗ
26.09	5	Основы DevOps	Коноваленко А.В.	Маршаков Д.В.	101	ЛР
28.09	3	Элективные курсы по ФК(ОФП)	Ковалёв А.С.		сп/зал	ПЗ
28.09	4	Основы экономической культуры и финансовая грамотность	Андреева Н.А.		308	лек.
28.09	5	Проектный практикум	Соколов С.В.		310	ПЗ
29.09	5	Цифровые устройства и микропроцессоры	Чикалов А.Н.		218	лек.
29.09	6	Цифровые устройства и микропроцессоры	Чикалов А.Н.		218	ПЗ
30.09	4	Математические методы в больших данных	Докучаев С.А.		106	лек.
30.09	5	Программирование 1С	Коноваленко А.В.		218	лек.
30.09	6	Программирование 1С	Коноваленко А.В.		218	ПЗ
