# Источник: https://skf.mtuci.ru/uch_rab/time-table/ — Высшее, очная, 2 курс, ДИ2501, расписание на сентябрь 2026 (скан PDF)
# дата	пара	дисциплина	преподаватель	ассистент	аудитория	вид
01.09	2	Информационная экология	Жуковский Д.А.		220	лек.
01.09	3	Электроника	Соколов С.В.		220	лек.
02.09	2	Иностранный язык 2 п/г	Светличная Н.О.		302	ПЗ
02.09	3	Информационные технологии и программирование	Швидченко С.А.		402	лек.
02.09	4	Элективные курсы по ФК(ОФП)	Ковалёв А.С.		сп/зал	ПЗ
03.09	1	Электроника	Соколов С.В.		310	ПЗ
03.09	2	Элективные курсы по ФК(ОФП)	Ковалёв А.С.		сп/зал	ПЗ
03.09	3	Основы экономической культуры и финансовая грамотность	Андреева Н.А.		220	лек.
04.09	2	Основы компьютерного анализа электрических цепей	Бородин А.В.		220	лек.
04.09	3	Элективные курсы по ФК(ОФП)	Ковалёв А.С.		сп/зал	ПЗ
05.09	2	Системное администрирование инфокоммуникационных систем	Шухардин А.Н.		220	лек.
05.09	4	Иностранный язык 1 п/г	Светличная Н.О.		302	ПЗ
07.09	2	Теория вероятностей и математическая статистика	Беркович В.Н.		220	лек.
07.09	3	Элективные курсы по ФК(ОФП)	Ковалёв А.С.		сп/зал	ПЗ
08.09	2	Элективные курсы по ФК(ОФП)	Ковалёв А.С.		сп/зал	ПЗ
08.09	3	Информационная экология	Жуковский Д.А.	Карпов Д.А.	310	ЛР
08.09	4	Иностранный язык 1 п/г	Светличная Н.О.		302	ПЗ
09.09	2	Электроника	Соколов С.В.		220	лек.
09.09	3	Электроника	Соколов С.В.		310	ПЗ
09.09	4	Основы компьютерного анализа электрических цепей	Бородин А.В.		312	ПЗ
10.09	1	Иностранный язык 2 п/г	Светличная Н.О.		302	ПЗ
10.09	2	Основы экономической культуры и финансовая грамотность	Андреева Н.А.		101	ПЗ
10.09	3	Основы компьютерного анализа электрических цепей	Бородин А.В.	Зобова С.В.	313	ЛР
11.09	1	Теория вероятностей и математическая статистика	Беркович В.Н.		220	ПЗ
11.09	2	Информационные технологии и программирование	Коноваленко А.В.		101	ПЗ
11.09	3	Информационные технологии и программирование	Швидченко С.А.	Чикалов А.Н.	218	ЛР
11.09	4	Информационная экология	Жуковский Д.А.	Карпов Д.А.	305	ЛР
14.09	3	Электроника	Соколов С.В.		310	ПЗ
14.09	4	Электроника	Соколов С.В.		310	ПЗ
15.09	1	Иностранный язык 2 п/г	Светличная Н.О.		302	ПЗ
15.09	2	Теория вероятностей и математическая статистика	Беркович В.Н.		402	лек.
15.09	3	Электроника	Соколов С.В.		220	лек.
15.09	4	Теория вероятностей и математическая статистика	Беркович В.Н.		401	ПЗ
16.09	1	Элективные курсы по ФК(ОФП)	Ковалёв А.С.		сп/зал	ПЗ
16.09	2	Информационная экология	Жуковский Д.А.		307	лек.
16.09	3	Информационные технологии и программирование	Швидченко С.А.		402	лек.
17.09	1	Иностранный язык 1 п/г	Светличная Н.О.		302	ПЗ
17.09	2	Основы экономической культуры и финансовая грамотность	Андреева Н.А.		307	лек.
17.09	3	Основы компьютерного анализа электрических цепей	Бородин А.В.		402	лек.
18.09	2	Элективные курсы по ФК(ОФП)	Ковалёв А.С.		сп/зал	ПЗ
18.09	3	Элективные курсы по ФК(ОФП)	Ковалёв А.С.		сп/зал	ПЗ
19.09	2	Информационные технологии и программирование	Коноваленко А.В.		305	ПЗ
19.09	3	Системное администрирование инфокоммуникационных систем	Шухардин А.Н.		220	лек.
21.09	1	Информационные технологии и программирование	Швидченко С.А.	Чикалов А.Н.	305	ЛР
21.09	2	Теория вероятностей и математическая статистика	Беркович В.Н.		220	лек.
21.09	3	Элективные курсы по ФК(ОФП)	Ковалёв А.С.		сп/зал	ПЗ
22.09	1	Высшая математика	Докучаев С.А.		220	лек.
22.09	2	Теория вероятностей и математическая статистика	Беркович В.Н.		308	ПЗ
22.09	3	Иностранный язык 1 п/г	Светличная Н.О.		302	ПЗ
23.09	1	Теория вероятностей и математическая статистика	Беркович В.Н.		220	лек.
23.09	2	Электроника	Соколов С.В.		220	лек.
23.09	3	Элективные курсы по ФК(ОФП)	Ковалёв А.С.		сп/зал	ПЗ
24.09	1	Иностранный язык 2 п/г	Светличная Н.О.		302	ПЗ
24.09	2	Основы экономической культуры и финансовая грамотность	Андреева Н.А.		101	ПЗ
24.09	3	Основы компьютерного анализа электрических цепей	Бородин А.В.	Зобова С.В.	313	ЛР
24.09	4	Элективные курсы по ФК(ОФП)	Ковалёв А.С.		сп/зал	ПЗ
25.09	1	Теория вероятностей и математическая статистика	Беркович В.Н.		220	ПЗ
25.09	2	Основы компьютерного анализа электрических цепей	Бородин А.В.		312	ПЗ
25.09	3	Высшая математика	Докучаев С.А.		308	ПЗ
25.09	4	Информационная экология	Жуковский Д.А.	Карпов Д.А.	216	ЛР
28.09	3	Электроника	Соколов С.В.		310	ПЗ
28.09	4	Электроника	Соколов С.В.		310	ПЗ
29.09	1	Иностранный язык 2 п/г	Светличная Н.О.		302	ПЗ
29.09	2	Теория вероятностей и математическая статистика	Беркович В.Н.		402	лек.
29.09	3	Теория вероятностей и математическая статистика	Беркович В.Н.		306	ПЗ
30.09	1	Элективные курсы по ФК(ОФП)	Ковалёв А.С.		сп/зал	ПЗ
30.09	2	Информационная экология	Жуковский Д.А.		307	лек.
30.09	3	Информационные технологии и программирование	Швидченко С.А.		402	лек.
